"","year_name","month_name","depth_cat","avg_bottemp","avg_surftemp"
"132",2010,"Nov","50-100",12.1211429050991,12.3165714808873
"133",2010,"Dec","<50",10.2642857687814,10.2514284678868
"134",2010,"Dec","101-250",13.0316665967306,11.8166664441427
"135",2010,"Dec","50-100",11.6411538490882,11.0165385099558
"136",2011,"Feb","<50",4.74374993890524,4.72062508016825
"137",2011,"Feb","101-250",10.5266666412354,6.53333338101705
"138",2011,"Feb","50-100",5.94241379869395,5.69896554946899
"139",2011,"Feb",NA,7.59000015258789,6.51999998092651
"140",2011,"Mar","<50",4.25897221432792,4.67488887574938
"141",2011,"Mar",">250",10.9099998474121,5.9850001335144
"142",2011,"Mar","101-250",11.4033334520128,5.94888883166843
"143",2011,"Mar","50-100",5.39689998626709,5.18793336550395
"144",2011,"Apr","<50",5.56666670905219,5.60222223069933
"145",2011,"Apr",">250",8.12999987602234,5.14499998092652
"146",2011,"Apr","101-250",8.74999984105428,5.22500006357829
"147",2011,"Apr","50-100",5.61999998092651,5.61066668828328
"148",2011,"May","<50",7.76555559370252,10.8533332612779
"149",2011,"May","50-100",6.18000000715256,12.0337499380112
"150",2011,"Jun","<50",10.4339535735374,13.5993022696916
"151",2011,"Jun",">250",10.1916667620341,17.8950001398722
"152",2011,"Jun","101-250",10.8942856448037,15.4749999727522
"153",2011,"Jun","50-100",8.48843379193042,12.9959036355995
"154",2011,"Jul","<50",11.2360000610352,18.6680000305176
"155",2011,"Jul",">250",13.2449998855591,25.795000076294
"156",2011,"Jul","101-250",12.8899998664856,20.329999923706
"157",2011,"Jul","50-100",9.12625002861023,18.1787499189377
"158",2011,"Jul",NA,16.68698655642,21.3807964324951
"159",2011,"Aug",NA,15.8621578216553,21.6709163665772
"160",2011,"Sep","<50",17.2436841663561,20.4594737605045
"161",2011,"Sep","101-250",10.7033333778381,19.9266668955485
"162",2011,"Sep","50-100",12.4379999160767,18.6099997838338
"163",2011,"Sep",NA,19.0151243209839,19.7757830619812
"164",2011,"Oct","<50",16.5060000610352,17.4631999588013
"165",2011,"Oct","101-250",12.625384587508,20.7700000909659
"166",2011,"Oct","50-100",13.870333258311,17.3356665929158
"167",2011,"Nov","<50",13.2849999427795,13.2589999198914
